clave,descripcion,unidad,precio,fuente,fecha,estado
POSTE-41-C26,Poste metálico galvanizado 4.10 cm cal. 26 (pieza 3.05 m),m,20.00,Pieza 3.05 m: MN Home Center $62 (promoción; lista $80.67) y Plaforama $70 con IVA (https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/poste-metalico-calibre-26-410x305-m-p-14405.html) → $53-70 sin IVA; se toma $61/pza,2026-09,validado con rango de mercado
CANAL-41-C26,Canal de amarre galvanizado 4.10 cm cal. 26 (pieza 3.05 m),m,15.50,Regla: canal ≈ 0.77 × poste del mismo ancho (canal 6.35 $58 vs poste 6.35 $75 con IVA en MN Home Center) sobre POSTE-41-C26 ($20/m),2026-09,referencia
POSTE-63-C26,Poste metálico galvanizado 6.35 cm cal. 26 (pieza 3.05 m),m,24.00,Pieza 3.05 m: MN Home Center $75 (lista $84.84) y $79 (lista $122) con IVA (https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/poste-metalico-calibre-26-635x305-m-p-14647.html) → $65-73 sin IVA; se toma $73/pza,2026-09,validado con rango de mercado
CANAL-63-C26,Canal de amarre galvanizado 6.35 cm cal. 26 (pieza 3.05 m),m,17.00,"Pieza 3.05 m $58 con IVA (MN Home Center, https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/canal-amarre-panel-rey-calibre-26-635x305-m-p-14233.html) → $50 sin IVA; se redondea a $52/pza",2026-09,validado con rango de mercado
POSTE-63-C20,Poste estructural (poste viga) galvanizado 6.35 cm cal. 20 para Durock (pieza 3.05 m),m,53.00,"Poste viga cal. 20 6.35x3.05 m $189 con IVA (MN Home Center, https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/poste-viga-calibre-20-635x305-m-p-14244.html) → $163 sin IVA / 3.05 m",2026-09,validado con rango de mercado
CANAL-63-C20,Canal estructural galvanizado 6.35 cm cal. 20-22 para Durock (pieza 3.05 m),m,36.00,"Canal estructural cal. 22 6.35x3.05 m $116.72 con IVA (MN Home Center, https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/canal-estructural-calibre-22-635x305-m-p-14243.html) → $33/m sin IVA; +10 % por cal. 20 que pide el concepto",2026-09,referencia
PANEL-YESO-13-RF,Panel de yeso resistente al fuego tipo X 13 mm (Fire Rey / Firecode X) 1.22 x 2.44 m,pza,220.00,"Regla: PANEL-YESO-13 ($195) + ≈13 % (diferencia usual RF/regular en listas Panel Rey y USG; Construrama, Codemex y FerreKasa listan Firecode X 1/2 sin precio visible)",2026-09,referencia
PANEL-YESO-13-RH,Panel de yeso resistente a la humedad 13 mm (Guard RH / Anti-Moho) 1.22 x 2.44 m,pza,225.00,Panel Rey RH 1/2 in: MN Home Center $249-274 con IVA con descuento (lista $313-371) (https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/panel-yeso-resistente-a-humedad-12-pulg-122-x-244-m-p-5381.html) → $215-236 sin IVA,2026-09,validado con rango de mercado
PANEL-EXT-13,Panel de yeso para exterior 13 mm con cara de fibra de vidrio (Glass-Mat / sheathing) 1.22 x 2.44 m,pza,300.00,Estimación: entre panel RH ($225) y tablero de cemento Durock ($560); tiendas listan el panel exterior sin precio visible,2026-09,referencia
DUROCK-13,Tablero de cemento USG Durock 12.7 mm 1.22 x 2.44 m,pza,560.00,"Distribuidores $450, $550 y $660 + IVA por hoja; precio directo $961 con IVA (búsqueda web: Plafones MG, Codemex, Materiales Cien Metros; https://codemex.mx/producto/tablero-de-cemento-durock-usg/); se toma $560 sin IVA",2026-09,validado con rango de mercado
TORN-DUROCK,"Tornillo Durock 1 1/4 in punta de broca, cabeza plana, anticorrosivo",pza,0.75,Estimación: caja de 100 pzas $80-95 con IVA en distribuidores de tablaroca; sin precio web visible,2026-09,referencia
