clave,descripcion,unidad,precio,fuente,fecha,estado
ACIDO-MURIATICO,Ácido muriático (clorhídrico comercial) para limpieza,l,30.00,Home Depot México: Ácido muriático Sultán 900 ml $32 con IVA (homedepot.com.mx/p/sultan-acido-muriatico-sultan-900ml-1213810-108364) → $30.65/l sin IVA; en garrafa baja ≈20 %,2026-09,referencia
CLORO-6,Cloro (hipoclorito de sodio 6 %) en garrafa de 20 L,l,11.00,Vive Limpio: cloro 20 L $255 con IVA (vivelimpio.mx/producto/cloro-concentrado-industrial-bidon-polietileno-20-litro) → $11/l sin IVA; también Alkim 6 % 20 L (bodegamesones.mx) sin precio visible,2026-09,referencia
DETERGENTE-POLVO,Detergente en polvo multiusos industrial (bolsa 10 kg),kg,30.00,Mercado Libre: detergente en polvo 10 kg entre $150 y $500 con IVA (listado.mercadolibre.com.mx/detergente-polvo-10-kg); Útil Industrial 10 kg (bodegamesones.mx) sin precio visible. Se toma $350/10 kg con IVA ≈ $30/kg sin IVA,2026-09,referencia
FIBRA-VERDE,Fibra abrasiva verde para tallar (pieza 15 x 10 cm),pza,8.00,Estimación de tlapalería $8-12 con IVA por pieza; sin cotización directa,2026-09,referencia
JERGA,Jerga de algodón para trapear y secar (pieza ≈ 60 x 80 cm),pza,18.00,Estimación de tlapalería $18-25 con IVA por pieza; sin cotización directa,2026-09,referencia
RETIRO-ESCOMBRO,"Retiro de escombro en camión de volteo 7 m³ a sitio de tiro autorizado (flete y derecho de tiro; carga aparte), por m³ suelto",m3,340.00,"Viaje de 7 m³ de escombro en zona urbana $1,800-2,800 más derecho de tiro; Guadalajara ≈$1,200/viaje (analisisdepreciosunitarios.com/flete-en-camion-de-volteo-con-capacidad-de-7-m3-32873). Se toma $2,100 de flete + $300 de tiro = $2,400/7 m³ ≈ $340/m³; sin cotización de Morelia",2026-09,validado con rango de mercado
LAVADO-CORTINA-SERV,"Servicio de lavandería/tintorería para cortinas: lavado y planchado, por m² de cortina",m2,38.00,"Lavandería en Puebla: cortinas lavado $15 y tintorería $25 como mínimos de referencia, se cotizan según tela y medida (fixando.mx / cleantap-pue.com); se toma $38/m² por lavado con planchado de cortina de tela con forro; sin cotización de Morelia",2026-09,referencia
COMPOSTA,Composta orgánica cribada a granel puesta en obra,m3,1200.00,"Biotech México (Uruapan, Mich.): composta mineralizada a granel desde $1,600/t sin flete, lista 2024 (biotechmexico.com/wp-content/uploads/2024/01/PRECIOS-OFICIALES-COMPOSTA-2024.pdf); densidad ≈0.55 t/m³ → $880/m³ + flete a Morelia ≈$200 + actualización 2 años ≈ $1,200/m³",2026-09,referencia
TARJA-EB-C100,"Tarja EB Técnica C-100 51x48 cm, 1 tina, empotrar, cal. 22, satinado",pza,1345.00,"Sears $1,699 oferta / $2,109 lista; Sanborns $1,429 oferta / $1,999 lista (con IVA; sears.com.mx/producto/2554167, sanborns.com.mx/producto/453510). Se toma $1,560 con IVA → sin IVA",2026-09,validado con rango de mercado
TARJA-EB-C101,"Tarja EB Técnica C-101N/C-102N 87x54 cm, 1 tina con escurridor (izq. o der.), empotrar",pza,1505.00,"Regla de escala: precio del modelo ancla × (material actualizado Construbase del modelo ÷ material del ancla); la proporción entre modelos sale del catálogo: ancla C-201N 100x54 $2,081 con IVA (zimat-concretos.com / surtidor.com) × 0.838. Home Depot lista el C-101N sin precio visible",2026-09,derivado del catálogo
TARJA-EB-C110,"Tarja doble EB Técnica C-110 84x56 cm, 2 tinas, empotrar, cal. 22",pza,1985.00,"Rango $2,129-2,716 con IVA (Azulemex $2,199; Gilsa $2,678; Limsa; Surtidor $2,309 con descuento; Sears $2,319). Se toma $2,300 con IVA → sin IVA",2026-09,validado con rango de mercado
TARJA-EB-C110E,"Tarja doble EB Técnica C-110E (84x56 cm, versión E), empotrar",pza,3830.00,"Regla de escala: precio del modelo ancla × (material actualizado Construbase del modelo ÷ material del ancla); la proporción entre modelos sale del catálogo: ancla C-110 ($1,983 sin IVA) × 1.93; sin precio publicado del modelo",2026-09,derivado del catálogo
TARJA-EB-C123,"Tarja doble EB Técnica C-123 188x54 cm, 2 tinas y 2 escurridores, empotrar",pza,4140.00,"Moda Cerámica Colima $5,381; otro distribuidor $4,390 con IVA (modaceramicacolima.com; cobanipa.com.mx). Se toma $4,800 con IVA → sin IVA",2026-09,validado con rango de mercado
TARJA-EB-C200,"Tarja EB Técnica C-200 51x57 cm, 1 tina, empotrar",pza,1430.00,"Regla de escala: precio del modelo ancla × (material actualizado Construbase del modelo ÷ material del ancla); la proporción entre modelos sale del catálogo: ancla C-100 ($1,345 sin IVA) × 1.062",2026-09,derivado del catálogo
TARJA-EB-C201,"Tarja EB Técnica C-201N/C-202N 100x54 cm, 1 tina con escurridor (izq. o der.), empotrar",pza,1795.00,"$2,081 con IVA (resumen de búsqueda de zimat-concretos.com / surtidor.com). Una sola fuente → sin IVA",2026-09,referencia
TARJA-EB-C203,"Tarja EB Técnica C-203N 144x54 cm, 1 tina con 2 escurridores, empotrar",pza,2860.00,"Cobanipa $3,854; Limsa $3,322; Zimat $3,095 con IVA. Se toma $3,320 con IVA → sin IVA",2026-09,validado con rango de mercado
TARJA-EB-C211,"Tarja doble EB Técnica C-211N/C-212N 144x54 cm, 2 tinas con escurridor (izq. o der.), empotrar",pza,2895.00,"$3,358 con IVA (resumen de búsqueda: surtidor.com, construrama.com, zimat-concretos.com). Una sola cifra → sin IVA",2026-09,referencia
TARJA-EB-M101,"Tarja EB Técnica Mark M-101/M-102 80x52 cm, 1 tina con escurridor, empotrar, cal. 24",pza,950.00,"Home Depot $1,099 (de $1,345); Azulemex $1,149; Zimat $1,040 con IVA. Se toma $1,100 con IVA → sin IVA",2026-09,validado con rango de mercado
TARJA-EB-M100,"Tarja EB Técnica Mark M-100 47x49 cm, 1 tina, empotrar (sin bordes), cal. 24",pza,570.00,tuconstruyes.com (Monterrey) M-100 con CR $664 con IVA; Home Depot sin precio visible → sin IVA,2026-09,referencia
TARJA-EB-M11019,"Tarja doble EB Técnica Mark M-110-19 84x48 cm, empotrar",pza,870.00,Regla de escala de la línea Mark: factor medio precio/material Construbase de M-101 y M-100 (0.795) × material actualizado del modelo; sin precio publicado,2026-09,derivado del catálogo
TARJA-EB-M11022,"Tarja doble EB Técnica Mark M-110-22 84x56 cm, empotrar, cal. 24",pza,1060.00,Regla de escala de la línea Mark (factor 0.795 × material actualizado Construbase); Home Depot y Cubimas lo listan sin precio visible,2026-09,derivado del catálogo
TARJA-EB-M201,"Tarja EB Técnica Mark M-201/M-202 101x54 cm, 1 tina con escurridor, empotrar",pza,1160.00,"Regla de escala de la línea Mark (factor 0.795 × material actualizado Construbase). Surtidor muestra $904 con IVA, fuera de línea con el M-101 ($1,100), no se usa",2026-09,derivado del catálogo
TARJA-EB-MS100,"Tarja EB Técnica Mark MS-100 47.5x43 cm, 1 tina, submontar",pza,615.00,"Lista EB Técnica V.02.2021 $492 + IVA (plocesa.com, resumen de búsqueda) × 1.25 de actualización 2021→2026 (INPC); sin precio 2026 publicado",2026-09,referencia
TARJA-EB-MS200,"Tarja EB Técnica Mark MS-200, 1 tina, submontar",pza,870.00,Regla de escala: precio del modelo ancla × (material actualizado Construbase del modelo ÷ material del ancla); la proporción entre modelos sale del catálogo: ancla MS-100 ($615) × 1.42,2026-09,derivado del catálogo
TARJA-EB-C10,"Tarja EB Técnica 38x38 cm (C-10 / M-10), 1 tina, empotrar",pza,745.00,Mercado Libre $865; Surtidor $956 base ($813 con descuento); Zimat $550 con IVA. Se toma $865 con IVA → sin IVA,2026-09,validado con rango de mercado
TARJA-EB-C300,"Tarja EB Técnica C-300 64x56 cm, 1 tina extragrande, empotrar",pza,1490.00,"Limsa $1,726; Zimat $1,608; Surtidor $3,088 base ($2,625 con descuento) con IVA. Se toma $1,726 con IVA → sin IVA",2026-09,validado con rango de mercado
