clave,descripcion,unidad,precio,fuente,fecha,estado
MALLA-66-66,Malla electrosoldada 6x6-6/6 (rollo 2.50x40 m = 100 m²),m2,41.00,"Rollo 100 m² $4,600-4,900 (Serviacero lista feb-2026, https://www.serviacero.com/wp-content/uploads/2026/02/Malla-Electrosoldada.pdf; preciosdematerialesdeconstruccion.com.mx). Se trata como precio con IVA, igual que MALLA-66-88 del lote 2a: $4,750 ÷ 1.16 = $4,095/rollo",2026-09,validado con rango de mercado
MALLA-66-44,Malla electrosoldada 6x6-4/4 (rollo 2.50x40 m = 100 m²),m2,57.00,"Rollo 100 m² $6,400-6,800 (Serviacero lista feb-2026; preciosdematerialesdeconstruccion.com.mx). Criterio de MALLA-66-88: $6,600 ÷ 1.16 = $5,690/rollo",2026-09,validado con rango de mercado
TRIPLAY-PINO-19,Triplay de pino 19 mm hoja 1.22 x 2.44 m para cimbra aparente,pza,660.00,"Regla de escala: TRIPLAY-PINO-16 (lote 2f, $560) × 1.18 por espesor; CostoNet lista 'Triplay de pino 1 cara 19 mm' (MADCON00075, https://www.costonet.com.mx/precio/MADCON00075) sin precio visible; MercadoLibre $380-1,500 por hoja según calidad",2026-09,referencia
DESMOLD-CIMBRA,Desmoldante para cimbra de triplay tipo Fester Cimbrafest / Sika Separol (cubeta 19 L),l,55.00,"Estimación: cubeta 19 L $1,100-1,300 con IVA en distribuidores Fester/Sika; sin precio visible en la consulta → $55/L sin IVA",2026-09,referencia
SONOTUBO-10,Cimbra de cartón (sonotubo) de 10 cm de diámetro,m,30.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia; 10 cm con precio mínimo de $30/m,2026-09,referencia
SONOTUBO-15,Cimbra de cartón (sonotubo) de 15 cm de diámetro,m,34.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-20,Cimbra de cartón (sonotubo) de 20 cm de diámetro,m,56.00,Tool Ferreterías: sonotubo 20 cm × 3 m $195.23 con IVA por pieza (https://www.toolferreterias.com/products/sonotubo-20-cm) → $168.30 sin IVA / 3 m = $56/m; Construrama y Ferremobil lo listan sin precio visible,2026-09,validado con rango de mercado
SONOTUBO-25,Cimbra de cartón (sonotubo) de 25 cm de diámetro,m,85.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-45,Cimbra de cartón (sonotubo) de 45 cm de diámetro,m,245.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-50,Cimbra de cartón (sonotubo) de 50 cm de diámetro,m,295.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-55,Cimbra de cartón (sonotubo) de 55 cm de diámetro,m,350.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-60,Cimbra de cartón (sonotubo) de 60 cm de diámetro,m,405.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-65,Cimbra de cartón (sonotubo) de 65 cm de diámetro,m,470.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-70,Cimbra de cartón (sonotubo) de 70 cm de diámetro,m,540.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-75,Cimbra de cartón (sonotubo) de 75 cm de diámetro,m,610.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
SONOTUBO-80,Cimbra de cartón (sonotubo) de 80 cm de diámetro,m,685.00,Regla de escala precio ∝ D^1.8 anclada en dos precios de Tool Ferreterías con IVA por tramo de 3 m: 20 cm $195.23 ($56/m sin IVA) y 30 cm $407.37 ($117/m sin IVA; https://www.toolferreterias.com/products/sonotubo-30-cm). Nota: SONOTUBO-30/40 del lote 2f ($200 y $290/m) quedan ≈70 % arriba de esta evidencia,2026-09,referencia
