clave,descripcion,unidad,precio,fuente,fecha,estado
BLK-10,Block hueco de concreto 10x20x40 cm,pza,9.50,"Regla de escala anclada a BLK-15 ($12.50 sin IVA, rango 2026 $12-18/pza con IVA): precio ≈ proporcional al peso de la pieza (10 cm ≈ 9-10 kg vs 15 cm ≈ 13 kg) → $9.50 sin IVA. Home Depot Pro, Construrama y preciosdematerialesdeconstruccion.com.mx listan la pieza sin precio visible",2026-09,referencia
BLK-12,Block hueco de concreto 12x20x40 cm,pza,11.00,"Regla de escala anclada a BLK-15 ($12.50): proporcional al peso (12 cm ≈ 11 kg) → $11.00 sin IVA; sin cotización directa (Materiales Vite, IBMEX sin precio visible)",2026-09,referencia
BLK-20,Block hueco de concreto 20x20x40 cm,pza,16.00,"Regla de escala anclada a BLK-15 ($12.50): proporcional al peso (20 cm ≈ 17 kg) → $16.00 sin IVA; sin cotización directa",2026-09,referencia
ESCAL-12,Escalerilla de acero para muro de 12 cm,m,6.20,"Regla de escala sobre ESCAL-15 ($6.50/m, cal. 12): mismo alambre longitudinal, travesaños más cortos → $6.20/m",2026-09,referencia
ESCAL-20,Escalerilla de acero para muro de 20 cm,m,7.20,"Regla de escala sobre ESCAL-15 ($6.50/m, cal. 12): mismo alambre longitudinal, travesaños más largos → $7.20/m",2026-09,referencia
BLK-RUS-12-GRIS,Block hueco rústico (cara de piedra / split) 12x20x40 cm color gris,pza,19.00,"Ancla: block split cara de piedra 15x20x40 gris natural $26 con IVA (Blockera Fraba, https://blockerafraba.com/products/block-split-cara-de-piedra-15x20x40-cm) → $22.40 sin IVA; 12 cm por proporción de peso (≈0.85) → $19.00",2026-09,referencia
BLK-RUS-15-GRIS,Block hueco rústico (cara de piedra / split) 15x20x40 cm color gris,pza,22.40,"Block split cara de piedra 15x20x40 gris natural $26 con IVA (Blockera Fraba, https://blockerafraba.com/products/block-split-cara-de-piedra-15x20x40-cm) → $22.40 sin IVA; Sodimac, Construrama e IBMEX listan la pieza sin precio visible",2026-09,validado con rango de mercado
BLK-RUS-20-GRIS,Block hueco rústico (cara de piedra / split) 20x20x40 cm color gris,pza,27.00,"Ancla BLK-RUS-15-GRIS ($22.40 sin IVA, Blockera Fraba); 20 cm por proporción de peso (≈1.2) → $27.00",2026-09,referencia
BLK-RUS-12-OCRE,Block hueco rústico (cara de piedra / split) 12x20x40 cm color ocre,pza,22.50,"Regla: gris del mismo tamaño ($19.00) + pigmento de óxido de hierro ≈ +18 % (diferencia usual entre gris y color en listas de blockeras; Sodimac 584576 lista el ocre sin precio visible)",2026-09,referencia
BLK-RUS-15-OCRE,Block hueco rústico (cara de piedra / split) 15x20x40 cm color ocre,pza,26.50,"Regla: gris del mismo tamaño ($22.40) + pigmento ≈ +18 % (Sodimac 25777X lista el ocre sin precio visible)",2026-09,referencia
BLK-RUS-20-OCRE,Block hueco rústico (cara de piedra / split) 20x20x40 cm color ocre,pza,32.00,"Regla: gris del mismo tamaño ($27.00) + pigmento ≈ +18 % (Sodimac 257826 y Estrublock listan el ocre sin precio visible)",2026-09,referencia
BLK-RUS-12-ROSA,Block hueco rústico (cara de piedra / split) 12x20x40 cm color rosa,pza,22.50,"Regla: gris del mismo tamaño ($19.00) + pigmento ≈ +18 % (costonet.com.mx lista rústico rosa 12x20x40 sin precio visible)",2026-09,referencia
BLK-RUS-15-ROSA,Block hueco rústico (cara de piedra / split) 15x20x40 cm color rosa,pza,26.50,"Regla: gris del mismo tamaño ($22.40) + pigmento ≈ +18 %",2026-09,referencia
BLK-RUS-20-ROSA,Block hueco rústico (cara de piedra / split) 20x20x40 cm color rosa,pza,32.00,"Regla: gris del mismo tamaño ($27.00) + pigmento ≈ +18 %",2026-09,referencia
TABICON-L,Tabicón ligero de concreto 7x13x26 cm,pza,4.30,"Tabicón ligero 7x12x24 $4.64-5.22/pza (preciosdematerialesdeconstruccion.com.mx, https://preciosdematerialesdeconstruccion.com.mx/blocks/2669-tabicon-ligero-7x12x24-pza.html); 7x13x26 ≈ $5.00 con IVA → $4.30 sin IVA. Construrama/Construenvío sin precio visible",2026-09,validado con rango de mercado
TABICON-XL,Tabicón extra ligero de concreto (agregado pómez/jal) 7x13x26 cm,pza,4.50,"Regla: tabicón ligero ($4.30) + ≈5 % por agregado ligero; sin cotización directa",2026-09,referencia
TABICON-P,Tabicón pesado de concreto 7x13x26 cm,pza,4.10,"Regla: tabicón ligero ($4.30) − ≈5 % (agregado de arena y grava, pieza más barata y más pesada); Construenvío/Home Depot listan el tabicón pesado 7x13x26 sin precio visible",2026-09,referencia
PIEDRA-BRAZA,Piedra braza en greña para mampostería puesta en obra,m3,420.00,"Rango 2025 $400-700/m³ puesto en obra según flete (analisisdepreciosunitarios.com, https://analisisdepreciosunitarios.com/construccion-12745); Costonet $321/m³ jul-2025 (https://www.costonet.com.mx/precio/AGRGRA00035). Michoacán tiene bancos de piedra cercanos a Morelia; se toma $420 sin IVA",2026-09,validado con rango de mercado
